start	stop	chrom	strand	seqname	num_exons
23866	24926	c10	+	Hcv1.av84.c10.g5.i1	1
502683	506398	c10	-	Hcv1.av84.c10.g50.i1	9
6991048	6995668	c10	+	Hcv1.av84.c10.g500.i1	7
6995807	6998265	c10	+	Hcv1.av84.c10.g501.i1	6
7008237	7030799	c10	+	Hcv1.av84.c10.g502.i1	15
7036370	7041178	c10	+	Hcv1.av84.c10.g503.i1	13
7036370	7041178	c10	+	Hcv1.av84.c10.g503.i2	13
7045977	7054406	c10	+	Hcv1.av84.c10.g504.i1	15
7054511	7058920	c10	-	Hcv1.av84.c10.g505.i1	6
7055483	7057488	c10	-	Hcv1.av84.c10.g505.i2	3
7055483	7057488	c10	-	Hcv1.av84.c10.g505.i3	4
7055483	7057740	c10	-	Hcv1.av84.c10.g505.i4	2
7062361	7072171	c10	-	Hcv1.av84.c10.g506.i1	12
7076672	7082828	c10	+	Hcv1.av84.c10.g507.i1	5
7079285	7080776	c10	+	Hcv1.av84.c10.g508.i1	1
7089261	7096307	c10	+	Hcv1.av84.c10.g509.i1	11
507349	518830	c10	-	Hcv1.av84.c10.g51.i1	19
507349	518830	c10	-	Hcv1.av84.c10.g51.i2	20
7096532	7103315	c10	-	Hcv1.av84.c10.g510.i1	13
7096532	7103315	c10	-	Hcv1.av84.c10.g510.i2	15
7107027	7138948	c10	-	Hcv1.av84.c10.g511.i1	53
7111900	7113426	c10	+	Hcv1.av84.c10.g512.i1	2
7115877	7117787	c10	+	Hcv1.av84.c10.g513.i1	3
7139025	7143670	c10	-	Hcv1.av84.c10.g514.i1	10
7139025	7143670	c10	-	Hcv1.av84.c10.g514.i2	8
7139025	7143670	c10	-	Hcv1.av84.c10.g514.i3	10
7139025	7148240	c10	-	Hcv1.av84.c10.g514.i4	10
7139025	7143670	c10	-	Hcv1.av84.c10.g514.i5	7
7150307	7169581	c10	+	Hcv1.av84.c10.g515.i1	8
7150307	7169581	c10	+	Hcv1.av84.c10.g515.i2	9
7157751	7159479	c10	-	Hcv1.av84.c10.g516.i1	2
7174133	7177752	c10	-	Hcv1.av84.c10.g517.i1	6
7174133	7177752	c10	-	Hcv1.av84.c10.g517.i2	7
7174133	7177752	c10	-	Hcv1.av84.c10.g517.i3	5
7185064	7189905	c10	+	Hcv1.av84.c10.g518.i1	10
7185064	7189905	c10	+	Hcv1.av84.c10.g518.i2	9
7194208	7204427	c10	-	Hcv1.av84.c10.g519.i1	22
7194208	7204427	c10	-	Hcv1.av84.c10.g519.i2	23
519015	528481	c10	-	Hcv1.av84.c10.g52.i1	6
519015	528481	c10	-	Hcv1.av84.c10.g52.i2	7
7207015	7209471	c10	-	Hcv1.av84.c10.g520.i1	6
7210135	7212676	c10	-	Hcv1.av84.c10.g521.i1	6
7210135	7212676	c10	-	Hcv1.av84.c10.g521.i2	3
7215909	7217390	c10	-	Hcv1.av84.c10.g522.i1	3
7217563	7222405	c10	-	Hcv1.av84.c10.g523.i1	9
7217563	7222405	c10	-	Hcv1.av84.c10.g523.i2	10
7224591	7253704	c10	+	Hcv1.av84.c10.g524.i1	9
7229942	7253704	c10	+	Hcv1.av84.c10.g524.i2	9
7238262	7241788	c10	-	Hcv1.av84.c10.g525.i1	5
7242801	7245627	c10	-	Hcv1.av84.c10.g526.i1	6
7242801	7245627	c10	-	Hcv1.av84.c10.g526.i2	7
7254596	7261350	c10	+	Hcv1.av84.c10.g527.i1	8
7254596	7261350	c10	+	Hcv1.av84.c10.g527.i2	7
7262843	7270958	c10	+	Hcv1.av84.c10.g528.i1	23
7262843	7271134	c10	+	Hcv1.av84.c10.g528.i2	24
7272117	7275241	c10	-	Hcv1.av84.c10.g529.i1	9
520092	533227	c10	-	Hcv1.av84.c10.g53.i1	2
7277684	7285744	c10	+	Hcv1.av84.c10.g530.i1	11
7286234	7287208	c10	-	Hcv1.av84.c10.g531.i1	4
7302474	7309392	c10	+	Hcv1.av84.c10.g532.i1	11
7309465	7311571	c10	-	Hcv1.av84.c10.g533.i1	2
7320683	7330387	c10	+	Hcv1.av84.c10.g534.i1	22
7330478	7359398	c10	+	Hcv1.av84.c10.g535.i1	12
7336994	7339092	c10	-	Hcv1.av84.c10.g536.i1	2
7360652	7361365	c10	+	Hcv1.av84.c10.g537.i1	1
7361550	7364732	c10	+	Hcv1.av84.c10.g538.i1	3
7364861	7372733	c10	+	Hcv1.av84.c10.g539.i1	4
533290	536838	c10	-	Hcv1.av84.c10.g54.i1	9
533290	536838	c10	-	Hcv1.av84.c10.g54.i2	6
534473	536838	c10	-	Hcv1.av84.c10.g54.i3	8
7374042	7382971	c10	+	Hcv1.av84.c10.g540.i1	6
7383143	7388121	c10	+	Hcv1.av84.c10.g541.i1	3
7383143	7388121	c10	+	Hcv1.av84.c10.g541.i2	4
7388343	7391348	c10	+	Hcv1.av84.c10.g542.i1	1
7391617	7393931	c10	+	Hcv1.av84.c10.g543.i1	4
7391617	7393931	c10	+	Hcv1.av84.c10.g543.i2	4
7394556	7396815	c10	+	Hcv1.av84.c10.g544.i1	3
7401113	7403721	c10	-	Hcv1.av84.c10.g545.i1	2
7405802	7408762	c10	-	Hcv1.av84.c10.g546.i1	10
7405802	7408762	c10	-	Hcv1.av84.c10.g546.i2	9
7412929	7432046	c10	+	Hcv1.av84.c10.g547.i1	21
7412929	7432046	c10	+	Hcv1.av84.c10.g547.i2	19
7412929	7432046	c10	+	Hcv1.av84.c10.g547.i3	20
7412929	7432046	c10	+	Hcv1.av84.c10.g547.i4	21
7412929	7432046	c10	+	Hcv1.av84.c10.g547.i5	20
7432604	7438284	c10	+	Hcv1.av84.c10.g548.i1	5
7439240	7439771	c10	+	Hcv1.av84.c10.g549.i1	1
547343	549239	c10	-	Hcv1.av84.c10.g55.i1	2
7445754	7452938	c10	+	Hcv1.av84.c10.g550.i1	15
7455888	7465975	c10	-	Hcv1.av84.c10.g551.i1	28
7466635	7495807	c10	-	Hcv1.av84.c10.g552.i1	10
7466635	7495807	c10	-	Hcv1.av84.c10.g552.i2	9
7470706	7494747	c10	+	Hcv1.av84.c10.g553.i1	47
7470706	7494747	c10	+	Hcv1.av84.c10.g553.i2	46
7495975	7504484	c10	-	Hcv1.av84.c10.g554.i1	19
7510390	7521534	c10	+	Hcv1.av84.c10.g555.i1	11
7522277	7538598	c10	-	Hcv1.av84.c10.g556.i1	26
7522277	7538598	c10	-	Hcv1.av84.c10.g556.i2	27
7538784	7569408	c10	-	Hcv1.av84.c10.g557.i1	6
7547669	7548737	c10	+	Hcv1.av84.c10.g558.i1	2
7549151	7553208	c10	-	Hcv1.av84.c10.g559.i1	11
549756	552441	c10	-	Hcv1.av84.c10.g56.i1	1
7559184	7561255	c10	-	Hcv1.av84.c10.g560.i1	4
7559184	7561255	c10	-	Hcv1.av84.c10.g560.i2	5
7566334	7572055	c10	-	Hcv1.av84.c10.g561.i1	15
7575167	7581357	c10	+	Hcv1.av84.c10.g562.i1	10
7593171	7598247	c10	+	Hcv1.av84.c10.g563.i1	9
7609097	7609834	c10	+	Hcv1.av84.c10.g564.i1	1
7610873	7655199	c10	-	Hcv1.av84.c10.g565.i1	13
7610914	7617023	c10	-	Hcv1.av84.c10.g565.i2	7
7661073	7680199	c10	+	Hcv1.av84.c10.g566.i1	19
7661073	7680199	c10	+	Hcv1.av84.c10.g566.i2	20
7657771	7680198	c10	+	Hcv1.av84.c10.g566.i3	23
7680647	7684678	c10	-	Hcv1.av84.c10.g567.i1	13
7687722	7689629	c10	-	Hcv1.av84.c10.g568.i1	1
7689618	7709455	c10	+	Hcv1.av84.c10.g569.i1	10
7689618	7709455	c10	+	Hcv1.av84.c10.g569.i2	10
7689618	7709455	c10	+	Hcv1.av84.c10.g569.i3	10
7689618	7705719	c10	+	Hcv1.av84.c10.g569.i4	8
553586	558431	c10	-	Hcv1.av84.c10.g57.i1	7
7730200	7738956	c10	-	Hcv1.av84.c10.g570.i1	10
7730200	7738956	c10	-	Hcv1.av84.c10.g570.i2	11
7755537	7757493	c10	-	Hcv1.av84.c10.g571.i1	3
7758565	7762363	c10	+	Hcv1.av84.c10.g572.i1	9
7762638	7774901	c10	-	Hcv1.av84.c10.g573.i1	22
7788276	7791078	c10	-	Hcv1.av84.c10.g574.i1	8
7788276	7791078	c10	-	Hcv1.av84.c10.g574.i2	7
7788276	7791078	c10	-	Hcv1.av84.c10.g574.i3	8
7792490	7796778	c10	-	Hcv1.av84.c10.g575.i1	6
7792490	7796778	c10	-	Hcv1.av84.c10.g575.i2	4
7792490	7796778	c10	-	Hcv1.av84.c10.g575.i3	6
7792490	7796778	c10	-	Hcv1.av84.c10.g575.i4	7
7797554	7798738	c10	+	Hcv1.av84.c10.g576.i1	3
7798810	7802694	c10	+	Hcv1.av84.c10.g577.i1	8
7802971	7810549	c10	+	Hcv1.av84.c10.g578.i1	17
7811023	7815152	c10	-	Hcv1.av84.c10.g579.i1	4
558494	564854	c10	-	Hcv1.av84.c10.g58.i1	4
7815309	7835011	c10	-	Hcv1.av84.c10.g580.i1	26
7815309	7835011	c10	-	Hcv1.av84.c10.g580.i2	27
7815309	7835011	c10	-	Hcv1.av84.c10.g580.i3	25
7858036	7859646	c10	-	Hcv1.av84.c10.g581.i1	2
7865501	7875471	c10	-	Hcv1.av84.c10.g582.i1	16
7865501	7875471	c10	-	Hcv1.av84.c10.g582.i2	15
7890068	7945330	c10	+	Hcv1.av84.c10.g583.i1	9
7951260	7952682	c10	+	Hcv1.av84.c10.g584.i1	1
7953151	8073038	c10	+	Hcv1.av84.c10.g585.i1	13
7953151	8073038	c10	+	Hcv1.av84.c10.g585.i2	13
579114	581600	c10	+	Hcv1.av84.c10.g59.i1	2
25926	29340	c10	+	Hcv1.av84.c10.g6.i1	1
581033	614268	c10	-	Hcv1.av84.c10.g60.i1	23
592163	594485	c10	+	Hcv1.av84.c10.g61.i1	2
622232	635518	c10	+	Hcv1.av84.c10.g62.i1	10
622232	635518	c10	+	Hcv1.av84.c10.g62.i2	10
622232	635518	c10	+	Hcv1.av84.c10.g62.i3	10
622232	635518	c10	+	Hcv1.av84.c10.g62.i4	10
622232	635518	c10	+	Hcv1.av84.c10.g62.i5	9
622232	635325	c10	+	Hcv1.av84.c10.g62.i6	10
622232	632482	c10	+	Hcv1.av84.c10.g62.i7	9
622232	632482	c10	+	Hcv1.av84.c10.g62.i8	9
627971	629280	c10	+	Hcv1.av84.c10.g63.i1	2
635922	652389	c10	-	Hcv1.av84.c10.g64.i1	16
635922	652389	c10	-	Hcv1.av84.c10.g64.i2	15
641395	642775	c10	+	Hcv1.av84.c10.g65.i1	1
652559	653926	c10	-	Hcv1.av84.c10.g66.i1	3
654508	655747	c10	-	Hcv1.av84.c10.g67.i1	1
658090	661929	c10	-	Hcv1.av84.c10.g68.i1	10
662183	665457	c10	-	Hcv1.av84.c10.g69.i1	1
44533	71962	c10	-	Hcv1.av84.c10.g7.i1	23
665648	667834	c10	-	Hcv1.av84.c10.g70.i1	7
667985	700310	c10	-	Hcv1.av84.c10.g71.i1	43
667985	700310	c10	-	Hcv1.av84.c10.g71.i2	44
702364	709389	c10	+	Hcv1.av84.c10.g72.i1	11
702364	751845	c10	+	Hcv1.av84.c10.g72.i2	25
702364	751845	c10	+	Hcv1.av84.c10.g72.i3	25
760361	761508	c10	+	Hcv1.av84.c10.g73.i1	1
766836	773492	c10	+	Hcv1.av84.c10.g74.i1	3
775226	800196	c10	-	Hcv1.av84.c10.g75.i1	6
792183	828877	c10	+	Hcv1.av84.c10.g76.i1	8
828942	834930	c10	-	Hcv1.av84.c10.g77.i1	4
838101	842589	c10	-	Hcv1.av84.c10.g78.i1	7
845934	850743	c10	-	Hcv1.av84.c10.g79.i1	7
60377	62275	c10	-	Hcv1.av84.c10.g8.i1	2
60377	62405	c10	-	Hcv1.av84.c10.g8.i2	2
874360	879758	c10	-	Hcv1.av84.c10.g80.i1	10
874360	879758	c10	-	Hcv1.av84.c10.g80.i2	9
874360	879758	c10	-	Hcv1.av84.c10.g80.i3	9
880023	882692	c10	+	Hcv1.av84.c10.g81.i1	3
886785	889954	c10	+	Hcv1.av84.c10.g82.i1	6
890037	891481	c10	+	Hcv1.av84.c10.g83.i1	3
899982	908060	c10	-	Hcv1.av84.c10.g84.i1	5
899982	908060	c10	-	Hcv1.av84.c10.g84.i2	6
899982	926315	c10	-	Hcv1.av84.c10.g84.i3	9
930010	933248	c10	+	Hcv1.av84.c10.g85.i1	10
930010	933248	c10	+	Hcv1.av84.c10.g85.i2	8
935331	936535	c10	+	Hcv1.av84.c10.g86.i1	1
937507	940586	c10	+	Hcv1.av84.c10.g87.i1	6
937507	940586	c10	+	Hcv1.av84.c10.g87.i2	7
945297	999105	c10	-	Hcv1.av84.c10.g88.i1	4
948112	999105	c10	-	Hcv1.av84.c10.g89.i1	30
948112	999105	c10	-	Hcv1.av84.c10.g89.i2	30
948112	999105	c10	-	Hcv1.av84.c10.g89.i3	31
72055	76220	c10	-	Hcv1.av84.c10.g9.i1	5
955017	956978	c10	+	Hcv1.av84.c10.g90.i1	3
955017	956978	c10	+	Hcv1.av84.c10.g90.i2	4
955017	956978	c10	+	Hcv1.av84.c10.g90.i3	5
981445	992698	c10	+	Hcv1.av84.c10.g91.i1	24
994932	997054	c10	+	Hcv1.av84.c10.g92.i1	1
1001361	1033231	c10	+	Hcv1.av84.c10.g93.i1	15
1001361	1033231	c10	+	Hcv1.av84.c10.g93.i2	14
1009863	1011589	c10	-	Hcv1.av84.c10.g94.i1	2
1033521	1077963	c10	-	Hcv1.av84.c10.g95.i1	15
1033521	1067389	c10	-	Hcv1.av84.c10.g95.i2	15
1033521	1067389	c10	-	Hcv1.av84.c10.g95.i3	15
1034908	1077963	c10	-	Hcv1.av84.c10.g95.i4	15
1033538	1041017	c10	-	Hcv1.av84.c10.g95.i5	14
1033538	1041017	c10	-	Hcv1.av84.c10.g95.i6	14
1057513	1062595	c10	-	Hcv1.av84.c10.g96.i1	6
1057513	1062595	c10	-	Hcv1.av84.c10.g96.i2	5
1057513	1062595	c10	-	Hcv1.av84.c10.g96.i3	6
1057513	1060149	c10	-	Hcv1.av84.c10.g96.i4	3
1069912	1071502	c10	+	Hcv1.av84.c10.g97.i1	1
1071639	1081125	c10	+	Hcv1.av84.c10.g98.i1	9
1081461	1100829	c10	+	Hcv1.av84.c10.g99.i1	9
1825	19294	c11	+	Hcv1.av84.c11.g1.i1	12
1825	24116	c11	+	Hcv1.av84.c11.g1.i2	13
91689	94591	c11	-	Hcv1.av84.c11.g10.i1	7
91689	94591	c11	-	Hcv1.av84.c11.g10.i2	6
928836	951840	c11	-	Hcv1.av84.c11.g100.i1	18
946109	949590	c11	+	Hcv1.av84.c11.g101.i1	8
950288	952097	c11	-	Hcv1.av84.c11.g102.i1	4
956165	958432	c11	+	Hcv1.av84.c11.g103.i1	2
960366	966674	c11	+	Hcv1.av84.c11.g104.i1	8
963220	966674	c11	+	Hcv1.av84.c11.g104.i2	4
973761	1010912	c11	+	Hcv1.av84.c11.g105.i1	17
973761	1010912	c11	+	Hcv1.av84.c11.g105.i2	17
973761	1010912	c11	+	Hcv1.av84.c11.g105.i3	18
973761	1010912	c11	+	Hcv1.av84.c11.g105.i4	18
1019676	1038106	c11	+	Hcv1.av84.c11.g106.i1	14
1038270	1075315	c11	-	Hcv1.av84.c11.g107.i1	30
1038270	1075315	c11	-	Hcv1.av84.c11.g107.i2	30
1038270	1075315	c11	-	Hcv1.av84.c11.g107.i3	31
1038270	1075315	c11	-	Hcv1.av84.c11.g107.i4	31
1038270	1075315	c11	-	Hcv1.av84.c11.g107.i5	31
1051528	1054712	c11	-	Hcv1.av84.c11.g108.i1	1
1057340	1061514	c11	-	Hcv1.av84.c11.g109.i1	1
95214	99716	c11	+	Hcv1.av84.c11.g11.i1	6
1075383	1076247	c11	-	Hcv1.av84.c11.g110.i1	2
1076395	1079842	c11	-	Hcv1.av84.c11.g111.i1	9
1080384	1084314	c11	-	Hcv1.av84.c11.g112.i1	2
1090728	1092341	c11	+	Hcv1.av84.c11.g113.i1	1
1116764	1120591	c11	+	Hcv1.av84.c11.g114.i1	6
1123453	1150191	c11	+	Hcv1.av84.c11.g115.i1	10
1173516	1176928	c11	+	Hcv1.av84.c11.g116.i1	8
1176875	1195460	c11	+	Hcv1.av84.c11.g117.i1	17
1191044	1192324	c11	-	Hcv1.av84.c11.g118.i1	1
1195548	1202207	c11	-	Hcv1.av84.c11.g119.i1	12
1195548	1199598	c11	-	Hcv1.av84.c11.g119.i2	12
1195548	1203263	c11	-	Hcv1.av84.c11.g119.i3	12
100260	101324	c11	-	Hcv1.av84.c11.g12.i1	2
1206704	1211473	c11	-	Hcv1.av84.c11.g120.i1	8
1206704	1211473	c11	-	Hcv1.av84.c11.g120.i2	7
1206704	1211473	c11	-	Hcv1.av84.c11.g120.i3	9
1206704	1211473	c11	-	Hcv1.av84.c11.g120.i4	9
1227717	1228947	c11	-	Hcv1.av84.c11.g121.i1	1
1252442	1258489	c11	+	Hcv1.av84.c11.g122.i1	9
1252442	1258489	c11	+	Hcv1.av84.c11.g122.i2	7
1265751	1269808	c11	+	Hcv1.av84.c11.g123.i1	9
1271084	1281216	c11	+	Hcv1.av84.c11.g124.i1	12
1271084	1281216	c11	+	Hcv1.av84.c11.g124.i2	12
1286365	1306024	c11	-	Hcv1.av84.c11.g125.i1	6
1286365	1293598	c11	-	Hcv1.av84.c11.g125.i2	6
1355058	1360062	c11	+	Hcv1.av84.c11.g126.i1	14
1360573	1361741	c11	+	Hcv1.av84.c11.g127.i1	1
1362434	1369155	c11	+	Hcv1.av84.c11.g128.i1	9
1362434	1369155	c11	+	Hcv1.av84.c11.g128.i2	9
1370011	1376305	c11	+	Hcv1.av84.c11.g129.i1	4
1375284	1376302	c11	+	Hcv1.av84.c11.g129.i2	2
1372465	1375158	c11	+	Hcv1.av84.c11.g129.i3	4
102202	106081	c11	+	Hcv1.av84.c11.g13.i1	13
102202	106081	c11	+	Hcv1.av84.c11.g13.i2	14
1376551	1398790	c11	-	Hcv1.av84.c11.g130.i1	17
1376551	1398790	c11	-	Hcv1.av84.c11.g130.i2	16
1376551	1398790	c11	-	Hcv1.av84.c11.g130.i3	17
1377841	1380364	c11	+	Hcv1.av84.c11.g131.i1	4
1386346	1388566	c11	-	Hcv1.av84.c11.g132.i1	2
1401288	1404734	c11	-	Hcv1.av84.c11.g133.i1	5
1404803	1410716	c11	-	Hcv1.av84.c11.g134.i1	5
1408545	1410716	c11	-	Hcv1.av84.c11.g134.i2	3
1415716	1419779	c11	+	Hcv1.av84.c11.g135.i1	14
1420553	1422395	c11	+	Hcv1.av84.c11.g136.i1	2
1423581	1425037	c11	+	Hcv1.av84.c11.g137.i1	2
1425178	1427193	c11	+	Hcv1.av84.c11.g138.i1	4
1427250	1435228	c11	+	Hcv1.av84.c11.g139.i1	7
107503	118285	c11	+	Hcv1.av84.c11.g14.i1	5
114578	118283	c11	+	Hcv1.av84.c11.g14.i2	4
115371	118283	c11	+	Hcv1.av84.c11.g14.i3	4
1429396	1432043	c11	+	Hcv1.av84.c11.g140.i1	2
1435420	1437436	c11	+	Hcv1.av84.c11.g141.i1	4
1437486	1445711	c11	+	Hcv1.av84.c11.g142.i1	11
1446400	1465720	c11	-	Hcv1.av84.c11.g143.i1	13
1468146	1469541	c11	+	Hcv1.av84.c11.g144.i1	1
1467954	1474405	c11	-	Hcv1.av84.c11.g145.i1	4
1470631	1472859	c11	-	Hcv1.av84.c11.g146.i1	1
1474565	1485899	c11	-	Hcv1.av84.c11.g147.i1	12
1480317	1482831	c11	+	Hcv1.av84.c11.g148.i1	3
1480317	1482831	c11	+	Hcv1.av84.c11.g148.i2	4
1486137	1488350	c11	-	Hcv1.av84.c11.g149.i1	2
110646	114520	c11	+	Hcv1.av84.c11.g15.i1	8
110646	114520	c11	+	Hcv1.av84.c11.g15.i2	7
1492801	1512937	c11	+	Hcv1.av84.c11.g150.i1	13
1495974	1512937	c11	+	Hcv1.av84.c11.g150.i2	12
1527321	1533818	c11	+	Hcv1.av84.c11.g151.i1	14
1527614	1533818	c11	+	Hcv1.av84.c11.g151.i2	14
1534561	1543670	c11	-	Hcv1.av84.c11.g152.i1	12
1547936	1564446	c11	-	Hcv1.av84.c11.g153.i1	15
1567218	1581073	c11	+	Hcv1.av84.c11.g154.i1	26
1581333	1603070	c11	+	Hcv1.av84.c11.g155.i1	16
1581333	1603070	c11	+	Hcv1.av84.c11.g155.i2	16
1584941	1586372	c11	-	Hcv1.av84.c11.g156.i1	2
1604318	1608945	c11	-	Hcv1.av84.c11.g157.i1	5
1609945	1648834	c11	-	Hcv1.av84.c11.g158.i1	17
1646730	1647950	c11	-	Hcv1.av84.c11.g159.i1	1
118529	123063	c11	+	Hcv1.av84.c11.g16.i1	8
118529	123063	c11	+	Hcv1.av84.c11.g16.i2	8
1648882	1650065	c11	-	Hcv1.av84.c11.g160.i1	3
1651993	1665074	c11	+	Hcv1.av84.c11.g161.i1	11
1678841	1692060	c11	+	Hcv1.av84.c11.g162.i1	11
1678841	1702586	c11	+	Hcv1.av84.c11.g163.i1	8
1685372	1688697	c11	+	Hcv1.av84.c11.g164.i1	10
1685372	1688697	c11	+	Hcv1.av84.c11.g164.i2	10
1692257	1698771	c11	+	Hcv1.av84.c11.g165.i1	13
1698817	1700058	c11	+	Hcv1.av84.c11.g166.i1	1
1702802	1761849	c11	+	Hcv1.av84.c11.g167.i1	14
1708459	1709282	c11	-	Hcv1.av84.c11.g168.i1	1
1724369	1740412	c11	-	Hcv1.av84.c11.g169.i1	9
123151	125866	c11	+	Hcv1.av84.c11.g17.i1	6
1745472	1746993	c11	+	Hcv1.av84.c11.g170.i1	1
1746838	1748239	c11	-	Hcv1.av84.c11.g171.i1	1
1749680	1755993	c11	-	Hcv1.av84.c11.g172.i1	11
1749680	1755993	c11	-	Hcv1.av84.c11.g172.i2	9
1761931	1764353	c11	-	Hcv1.av84.c11.g173.i1	8
1762453	1764353	c11	-	Hcv1.av84.c11.g173.i2	6
1765002	1766819	c11	-	Hcv1.av84.c11.g174.i1	2
1770061	1772191	c11	+	Hcv1.av84.c11.g175.i1	7
1772545	1775493	c11	+	Hcv1.av84.c11.g176.i1	8
1772545	1775493	c11	+	Hcv1.av84.c11.g176.i2	7
1772545	1775493	c11	+	Hcv1.av84.c11.g176.i3	7
1777659	1781949	c11	-	Hcv1.av84.c11.g177.i1	8
1777659	1781949	c11	-	Hcv1.av84.c11.g177.i2	9
1788920	1800392	c11	-	Hcv1.av84.c11.g178.i1	27
1788920	1800392	c11	-	Hcv1.av84.c11.g178.i2	28
1816343	1825345	c11	-	Hcv1.av84.c11.g179.i1	20
127803	132313	c11	+	Hcv1.av84.c11.g18.i1	10
127803	132313	c11	+	Hcv1.av84.c11.g18.i2	10
1825435	1826856	c11	-	Hcv1.av84.c11.g180.i1	1
1828397	1832994	c11	-	Hcv1.av84.c11.g181.i1	6
1830646	1831998	c11	+	Hcv1.av84.c11.g182.i1	3
1833056	1839102	c11	-	Hcv1.av84.c11.g183.i1	13
1839488	1841767	c11	-	Hcv1.av84.c11.g184.i1	4
1842180	1843978	c11	+	Hcv1.av84.c11.g185.i1	1
1843797	1845502	c11	-	Hcv1.av84.c11.g186.i1	1
1848446	1850655	c11	-	Hcv1.av84.c11.g187.i1	1
1871652	1872746	c11	-	Hcv1.av84.c11.g188.i1	1
1873267	1890675	c11	+	Hcv1.av84.c11.g189.i1	19
1873267	1890675	c11	+	Hcv1.av84.c11.g189.i2	18
1873267	1890675	c11	+	Hcv1.av84.c11.g189.i3	19
132922	138275	c11	+	Hcv1.av84.c11.g19.i1	10
1882319	1883619	c11	-	Hcv1.av84.c11.g190.i1	1
1891071	1894424	c11	-	Hcv1.av84.c11.g191.i1	9
1901270	1908045	c11	+	Hcv1.av84.c11.g192.i1	15
1909361	1910645	c11	-	Hcv1.av84.c11.g193.i1	1
1908184	1909402	c11	+	Hcv1.av84.c11.g194.i1	3
1914514	1922512	c11	-	Hcv1.av84.c11.g195.i1	26
1914514	1922512	c11	-	Hcv1.av84.c11.g195.i2	26
1923004	1925637	c11	-	Hcv1.av84.c11.g196.i1	7
1923004	1925637	c11	-	Hcv1.av84.c11.g196.i2	8
1926536	1932104	c11	-	Hcv1.av84.c11.g197.i1	6
1926536	1932104	c11	-	Hcv1.av84.c11.g197.i2	7
1945442	1948162	c11	-	Hcv1.av84.c11.g198.i1	7
1950944	1957429	c11	-	Hcv1.av84.c11.g199.i1	11
28506	33444	c11	-	Hcv1.av84.c11.g2.i1	2
139768	156009	c11	-	Hcv1.av84.c11.g20.i1	22
139768	156009	c11	-	Hcv1.av84.c11.g20.i2	19
139768	156009	c11	-	Hcv1.av84.c11.g20.i3	21
1957524	1960008	c11	-	Hcv1.av84.c11.g200.i1	4
1960117	1961526	c11	-	Hcv1.av84.c11.g201.i1	2
1961799	1968141	c11	-	Hcv1.av84.c11.g202.i1	1
1968249	1975038	c11	-	Hcv1.av84.c11.g203.i1	16
1970578	1974964	c11	-	Hcv1.av84.c11.g203.i2	11
1975895	1986986	c11	+	Hcv1.av84.c11.g204.i1	17
1988644	2032886	c11	-	Hcv1.av84.c11.g205.i1	22
1988644	2032886	c11	-	Hcv1.av84.c11.g205.i2	24
2005541	2013967	c11	+	Hcv1.av84.c11.g206.i1	9
2014609	2018547	c11	+	Hcv1.av84.c11.g207.i1	4
2035904	2074823	c11	+	Hcv1.av84.c11.g208.i1	13
2037415	2074823	c11	+	Hcv1.av84.c11.g208.i2	13
2054424	2057305	c11	-	Hcv1.av84.c11.g209.i1	8
2054424	2057305	c11	-	Hcv1.av84.c11.g209.i2	9
2054424	2057305	c11	-	Hcv1.av84.c11.g209.i3	11
159734	160583	c11	-	Hcv1.av84.c11.g21.i1	2
2057569	2064893	c11	-	Hcv1.av84.c11.g210.i1	12
2077691	2083476	c11	-	Hcv1.av84.c11.g211.i1	9
2083683	2091051	c11	-	Hcv1.av84.c11.g212.i1	13
2083683	2093024	c11	-	Hcv1.av84.c11.g212.i2	21
2098642	2099723	c11	+	Hcv1.av84.c11.g213.i1	2
2100464	2102582	c11	-	Hcv1.av84.c11.g214.i1	5
2102759	2105135	c11	-	Hcv1.av84.c11.g215.i1	5
2105337	2109413	c11	-	Hcv1.av84.c11.g216.i1	12
2109562	2110331	c11	-	Hcv1.av84.c11.g217.i1	1
2110389	2111537	c11	-	Hcv1.av84.c11.g218.i1	4
2111989	2117963	c11	-	Hcv1.av84.c11.g219.i1	13
2111989	2117963	c11	-	Hcv1.av84.c11.g219.i2	13
2111989	2118372	c11	-	Hcv1.av84.c11.g219.i3	13
2111989	2117963	c11	-	Hcv1.av84.c11.g219.i4	12
183857	221915	c11	-	Hcv1.av84.c11.g22.i1	3
183857	221915	c11	-	Hcv1.av84.c11.g22.i2	5
2121218	2124549	c11	-	Hcv1.av84.c11.g220.i1	4
2124645	2126144	c11	-	Hcv1.av84.c11.g221.i1	3
2126362	2155946	c11	-	Hcv1.av84.c11.g222.i1	18
2126362	2136106	c11	-	Hcv1.av84.c11.g222.i2	14
2126362	2155946	c11	-	Hcv1.av84.c11.g222.i3	17
2126362	2155946	c11	-	Hcv1.av84.c11.g222.i4	18
2160841	2163630	c11	-	Hcv1.av84.c11.g223.i1	1
2163858	2168853	c11	+	Hcv1.av84.c11.g224.i1	4
2172812	2175060	c11	+	Hcv1.av84.c11.g225.i1	3
2175717	2187904	c11	-	Hcv1.av84.c11.g226.i1	20
2175717	2187904	c11	-	Hcv1.av84.c11.g226.i2	20
2189084	2190716	c11	+	Hcv1.av84.c11.g227.i1	2
2190775	2194799	c11	+	Hcv1.av84.c11.g228.i1	9
2190775	2194799	c11	+	Hcv1.av84.c11.g228.i2	10
